user_id,name,email,phone,age,city,account_type,signup_date,account_balance,kyc_complete,churn
USR00001,Aryan Maharaj,udantdewan@example.net,+918196001338,22,Bengaluru,savings,2025-02-01,1579.99,True,0
USR00002,Rushil Saini,saumyamall@example.org,+916542351161,37,Jaipur,wallet,2026-01-03,311.99,True,0
USR00003,Hemangini Lalla,sharafjeet@example.com,+918495931034,29,Mumbai,savings,2025-02-08,14187.85,True,0
USR00004,Viraj Chaudhuri,dmall@example.net,02553419283,29,Lucknow,savings,2025-11-25,716.84,True,0
USR00005,Turvi Raghavan,theodore50@example.org,+915641395376,19,Mumbai,current,2025-09-12,13462.57,True,0
USR00006,Luke Lanka,yatinyohannan@example.com,9696532871,48,Jaipur,savings,2025-11-28,200.31,True,0
USR00007,Imaran Dua,pahalbhatt@example.com,09784801845,41,Mumbai,wallet,2025-03-12,10253.21,True,0
USR00008,Chaaya Saran,sudikshaaggarwal@example.net,4828148932,22,Bengaluru,savings,2025-05-19,21119.6,True,0
USR00009,Neel Zacharia,naikvrinda@example.org,+915430391171,18,Ahmedabad,savings,2025-01-15,13665.82,True,0
USR00010,Kabir Soman,alkawable@example.net,03834657871,23,Kolkata,current,2024-12-25,48729.21,True,0
USR00011,Umang Bhatt,ansh98@example.org,3010310518,38,Mumbai,wallet,2025-11-07,11736.11,True,0
USR00012,Arya Sunder,kevinsolanki@example.org,06311656670,27,Delhi,savings,2025-06-21,1101.22,False,1
USR00013,Darsh Rau,ikbal33@example.org,7262473178,43,Delhi,savings,2025-04-30,1153.94,True,0
USR00014,Chandresh Zachariah,chanderwarjas@example.org,07736026064,40,Mumbai,savings,2025-06-20,8952.58,True,0
USR00015,Bhavika Sampath,mdubey@example.com,+910980500978,43,Bengaluru,savings,2025-10-12,32733.78,True,0
USR00016,Dakshesh Trivedi,grewalekapad@example.net,+913619399091,51,Delhi,savings,2025-08-30,19187.43,True,0
USR00017,Diya Lal,diptakhare@example.com,02475107991,22,Hyderabad,savings,2025-04-29,228.33,False,1
USR00018,Tanay Toor,kevin51@example.org,04278498084,37,Hyderabad,savings,2025-10-04,2250.69,True,0
